country_code,country_name,data_year,gdp_usd,gdp_per_capita_usd,population,life_expectancy,infant_mortality_per_1k,co2_per_capita_tons,literacy_rate_pct,internet_users_pct,unemployment_pct,inflation_cpi_pct,forest_area_pct,renewable_energy_pct,gini_index,electricity_access_pct,health_expenditure_per_capita_usd
NIC,Nicaragua,2025,19693982967.5926,2847.53966339498,6916140,74.947,10.3,,87.3450882346125,58.2314,5.04,4.62473841057141,25.8229183978727,50.4,46.2,88.3,216.55238342
NER,Niger,2025,19876128485.7857,735.270255787226,27032412,61.183,67.4,,35.6100006103516,23.1879,0.394,9.07151997725013,0.822957290597616,79.6,32.9,20.1,26.01301575
NGA,Nigeria,2025,252261880141.151,1084.16041805436,232679478,54.462,60.1,,70.4100036621094,39.2136,3.064,33.2420966545406,23.2078900271199,80.3,33.9,61.2,66.82009125
MKD,North Macedonia,2025,16951682245.4202,9291.85661671864,1824359,75.3160975609756,2.8,,96.129997253418,87.1819,12.256,3.48974086026947,39.7101506740682,19.5,33.5,100,639.41693115
MNP,Northern Mariana Islands,2024,1096000000,23785.754590043,44278,78.808,,,,0,,,52.9565217391304,0.5,,100,
NOR,Norway,2025,483592648313.301,86785.4334489176,5572279,83.1121951219512,1.9,,,99,4.637,3.14530134431073,33.5009745518434,61.4,26.5,100,8296.35546875
OMN,Oman,2025,107137198769.386,20285.2272897377,5281538,80.031,8.4,,97.3399963378906,95.2517,3.251,0.593589236248469,0.00762261712439418,0.1,,100,732.04089355
PAK,Pakistan,2025,371570000121.266,1478.77277977996,251269164,67.649,50.1,,58.8600006103516,27.3759,5.42,12.6325318530452,4.67242631797426,41.6,29.6,95.6,30.48608398
PLW,Palau,2024,276733062.744141,15610.8231931032,17695,69.269,19.1,,100,26.9703,,2.23172772921704,90.5434782608696,0.9,,100,1683.8458252
PAN,Panama,2025,86523959131.7472,19161.2188501596,4515577,79.594,10.6,,96.256135181795,68.5485,8.36,0.693225551004538,56.3439727689404,28,49.7,97,1557.81286621
PNG,Papua New Guinea,2025,31800428265.5246,3006.70564478923,10576502,66.134,32,,87.144148905762,24.0667,2.571,0.602403921107917,78.9541359360509,54.6,41.9,20.5,85.15021515
PRY,Paraguay,2025,44458118397.4445,6416.09708970845,6929153,73.844,15.1,,94.8600006103516,81.5781,4.803,3.83540271728533,38.5449252640128,58.8,44.2,99.8,526.5098877
PER,Peru,2025,289221969062.941,8452.37167056621,34217848,77.74,13.5,,93.6600036621094,81.9571,5.117,2.00770739412712,56.103020234375,30.6,40.1,96.2,445.52667236
PHL,Philippines,2025,461617509782.355,3984.8315387656,115843670,69.833,22.1,,98.4700012207031,83.7661,2.235,3.21260487006347,24.4600731126539,28,39.3,98,194.05484009
POL,Poland,2025,917767106146.761,25103.565661423,36559233,78.5073170731707,3.7,,98.7399978637695,88.585,2.976,3.7842600751287,31.0804192379273,15.2,28.5,100,2014.12780762
PRT,Portugal,2025,313271185085.102,29292.242104753,10694681,82.2804878048781,2.6,,94.4800033569336,88.487,6.164,2.41613187791884,36.154994891142,32.3,33.9,100,2971.03930664
PRI,Puerto Rico (US),2025,126029527033.705,39343.7154660139,3203295,81.69,,,92.3899993896484,87.2918,5.991,,56.1217587373168,2.5,,100,
QAT,Qatar,2025,219162637362.637,76688.6941743178,2857822,82.368,4.9,,97.75,99.6528,0.13,1.26734310292375,0,0,35.1,100,1804.35424805
ROU,Romania,2025,382564217988.866,20080.2096215595,19051804,76.6073170731707,5.4,,99.1600036621094,91.2905,5.992,5.72140574354439,30.1158292767733,23.6,29.8,100,1050.99755859
RUS,Russian Federation,2025,2173835806671.66,14889.0185546875,143533851,73.2546341463415,3.7,,99.9300003051758,94.365,2.133,8.43486410496723,49.7843605035639,3.5,33,100,1003.33166504
RWA,Rwanda,2025,14251642235.0968,999.65456165547,14256567,67.785,30.5,,78.7600021362305,34.2005,11.363,1.77029240198635,11.3092825293879,79.9,39.4,63.9,52.65630722
WSM,Samoa,2025,1175749785.65113,5392.87761915762,218019,71.698,12.8,,97.9899978637695,58.1386,4.996,2.17245530514377,57.636690647482,35.9,38.7,100,292.81085205
SMR,San Marino,2024,2027527227.831,59879.7173015651,33977,85.706,1.4,,99.9100036621094,87.0278,,1.24216507945569,16.6666666666667,,,100,3923.5234375
STP,Sao Tome and Principe,2025,822154621.088897,3490.56883486557,235536,69.718,9.4,,87.4400024414062,61.4607,9.132,14.3519273571008,52.125,42.5,40.7,81.3,171.05166626
SAU,Saudi Arabia,2025,1239804533333.33,35121.6628687742,35300280,78.732,4.9,,97.9300003051758,100,3.038,1.68792112375809,0.454484134921779,0.1,,100,1825.2545166
SEN,Senegal,2025,32808056600.9436,1773.21829923448,18501984,68.683,30.2,,50.3600006103516,60.6122,2.735,0.804503298792438,41.2827091881785,35.4,36.2,74.2,73.22670746
SRB,Serbia,2025,90097765959.1114,13679.2065983557,6586476,76.2209756097561,4.5,,99.3399963378906,87.6907,7.123,4.6705297488997,32.3896349149721,27.2,32.8,100,983.69372559
SYC,Seychelles,2024,2167239562.46013,17858.8226383978,121354,74.9585365853659,13.1,,93.9499969482422,87.4009,,0.311726050919668,73.2608695652174,1.9,32.1,100,766.28778076
SLE,Sierra Leone,2025,6971127235.3123,806.654650417726,8642022,61.786,56.2,,43.5800018310547,20.635,3.15,28.6337500014115,34.2988362427265,71.6,35.7,35.5,35.76205063
SGP,Singapore,2025,547386645891.847,90674.066632628,6036860,82.8951219512195,1.7,,97.6500015258789,94.3776,2.818,2.38951123595017,20.933147632312,1.1,,100,3921.60253906
SXM,Sint Maarten (Dutch part),2024,1797836665.95136,41472.5874498583,43350,76.371,,,,,,2.19201010962985,10.8823529411765,0,,100,
SVK,Slovak Republic,2025,140934076532.375,25992.6748502048,5422069,78.0170731707317,5.1,,,89.8251,5.359,2.75760909424272,40.05615640599,17.9,23.8,100,1813.46618652
SVN,Slovenia,2025,72972015197.3859,34301.0318686594,2127400,81.9780487804878,1.8,,99.5199966430664,90.7636,3.175,1.96562656432512,61.1748938389332,23.4,24.7,100,3370.53076172
SLB,Solomon Islands,2025,1583964703.75061,1933.55538435227,819198,70.528,16.5,,76.5999984741211,42.4597,1.431,4.32183948388033,90.0600214362272,50.1,37.1,81.3,111.35532379
SOM,"Somalia, Fed. Rep.",2025,11967000000,629.538899449007,19009151,58.816,67.8,,54.1199989318848,27.6,18.948,,9.16528517231485,95.4,,50.3,22.37065506
