iata_code,icao_code,name,city,country_code,continent,latitude,longitude,elevation_ft,type,scheduled_service
PDX,KPDX,Portland International Airport,Portland,US,NA,45.588699,-122.598,31,large_airport,yes
PED,LKPD,Pardubice Airport,Pardubice,CZ,EU,50.015049,15.73981,741,large_airport,yes
PEE,USPP,Perm International Airport,Perm,RU,AS,57.914501,56.021198,404,large_airport,yes
PEG,LIRZ,Perugia San Francesco d'Assisi – Umbria International Airport,Perugia (PG),IT,EU,43.095901,12.5132,697,large_airport,yes
PEH,SAZP,Comodoro Pedro Zanni Airport,Pehuajó,AR,SA,-35.8446,-61.8576,278,medium_airport,no
PEI,SKPE,Matecaña International Airport,Pereira,CO,SA,4.81267,-75.7395,4416,medium_airport,yes
PEK,ZBAA,Beijing Capital International Airport,Beijing,CN,AS,40.077349,116.596702,116,large_airport,yes
PEM,SPTU,Padre Aldamiz International Airport,Puerto Maldonado,PE,SA,-12.6135997772,-69.2285995483,659,medium_airport,yes
PEN,WMKP,Penang International Airport,Penang,MY,AS,5.296303,100.276185,11,large_airport,yes
PER,YPPH,Perth International Airport,Perth,AU,OC,-31.94029998779297,115.96700286865234,67,large_airport,yes
PES,ULPB,Petrozavodsk Airport,Petrozavodsk,RU,EU,61.885201,34.154701,151,medium_airport,yes
PET,SBPK,João Simões Lopes Neto International Airport,Pelotas,BR,SA,-31.717189,-52.327796,59,medium_airport,yes
PEV,LHPP,Pécs-Pogány International Airport,Pécs,HU,EU,45.988891,18.242044,651,large_airport,yes
PEW,OPPS,Bacha Khan International Airport,Peshawar,PK,AS,33.9939,71.514603,1158,large_airport,yes
PEX,UUYP,Pechora Airport,Pechora,RU,EU,65.121101,57.130798,98,medium_airport,yes
PEZ,UWPP,Penza Airport,Penza,RU,EU,53.110599517822266,45.02109909057617,614,medium_airport,yes
